folio,text in tag,before,after
tcn_p096r_preTEI,s,"['de', 'veau', 'ou', 'de', 'mouton', 'tout', 'd', 'une', 'piece', 'celle']","['de', 'veau', 'may', 's', 'celle', 's', 'de', 'mouton', 'nenny', 'Ain']"
tcn_p097r_preTEI,s,"['On', 'apre']","['te', 'fort', 'le', 's', 'garde', 's', 'avecq', 'la', 'lime', 'doulce']"
tcn_p103v_preTEI,teston,"['on', 'couvre', 'premierement', 'la', 'medaille', 'de', 'l', 'espesseur', 'd', 'un']",[]
tcn_p104r_preTEI,liard,"['pour', 'le', 'graver', '&', 'faire', 'l', 'eau', 'prens', 'pour', 'un']","['de', 'verdet', '&', 'mects', 'deulx', 'fois', 'aultant', 'de', 'gros', 'sel']"
tcn_p121v_preTEI,teston,"['contre', 'l', 'aultre', 'ou', 'reparer', 'C', 'est', 'communement', 'argent', 'de']","['Et', 'tout', 'argent', 'allié', 'pourveu', 'qu', 'il', 'soict', 'douls', 'est']"
tcn_p121v_preTEI,sols,"['leurs', 'ouvrages', 'ilz', 'l', 'achepteroient', 'beaucoup', 'Aulcuns', 'l', 'acheptent', 'cinq']","['le', 'denier']"
tcn_p123r_preTEI,sols,"['ssance', 'de', 'ceste', 'matiere', 'vendent', 'le', 'denier', 'd', 'icelle', 'cinq']","['aulx', 'aultres', 'orfevres', '&', 'mesmement', 'à', 'ceulx', 'qui', 'travaillent', 'de']"
tcn_p124v_preTEI,escu,"['l', 'or', 'allié', 'luy', 'est', 'plus', 'propre', 'comme', 'celuy', 'd']","['&', 'pistolet', 'Si', 'L', 'or', 'f', 'n', 'est', 'remys', 'au']"
tcn_p124v_preTEI,pistolet,"['allié', 'luy', 'est', 'plus', 'propre', 'comme', 'celuy', 'd', 'escu', '&']","['Si', 'L', 'or', 'f', 'n', 'est', 'remys', 'au', 'foeu', 'en']"
tcn_p126v_preTEI,sols,"['gecter', 'en', 'or', 'ven', 'achaptent', 'l', 'once', 'quarante', 'ou', 'cinquante']",[]
tcn_p128v_preTEI,realle,"['plus', 'fin', 'que', 'la', 'ligue', 'du', 'capital', 'et', 'comme', 'de']","['mays', 'que', 'tu', 'y', 'adjoustes', 'de', 'ce', 'grain']"
tcn_p128v_preTEI,teston,"['en', 'ma', 'presence', 'gecté', 'un', 'petit', 'lesard', 'de', 'ligue', 'de']","['il', 'fist', 'une', 'croste', 'noi', 'grisastre', 'Et', 'pour', 'l', 'en']"
tcn_p149v_preTEI,denier d’,"['Il', 'prenent', 'sur', 'un']","['or', 'un', 'grain', 'd', 'aloé', 'fin', 'comme', 'sont', 'les', 'vieulx']"
tcn_p149v_preTEI,vieulx douzains,"['d', 'or', 'un', 'grain', 'd', 'aloé', 'fin', 'comme', 'sont', 'les']",[]
tcn_p154r_preTEI,real,"['Les', 'orfevres', 'ne', 'travaillent', 'point', 'd', 'argent', 'de']","['qui', 'ne', 'soict', 'allié', 'pource', 'qu', 'il', 'est', 'plombeus', '&']"
tcn_p154r_preTEI,vieulx sol,"['qui', 'ne', 'vont', 'qu', 'une', 'fois', 'au', 'foeu', 'avecq', 'quelque']","['&', 'carolus', 'recuit', '&', 'battu', 'Touteffois', 'si', 'le', 'sol', 'n']"
tcn_p154r_preTEI,carolus,"['qu', 'une', 'fois', 'au', 'foeu', 'avecq', 'quelque', 'vieulx', 'sol', '&']","['recuit', '&', 'battu', 'Touteffois', 'si', 'le', 'sol', 'n', 'est', 'bien']"
tcn_p154r_preTEI,sol,"['ne', 'vont', 'qu', 'une', 'fois', 'au', 'foeu', 'avecq', 'quelque', 'vieulx']","['&', 'carolus', 'recuit', '&', 'battu', 'Touteffois', 'si', 'le', 'sol', 'n']"
tcn_p156r_preTEI,billon,"['medaille', 'qu', 'il', 'te', 'plaira', 'd', 'argent', 'bas', 'comme', 'de']","['Aprés', 'dore', 'la', 'legerement', 'Et', 'comme', 'la', 'premiere', 'doreure', 'sera']"
tcn_p162r_preTEI,talentorum,"['presenta', 'au', 'temple', 'de', 'Delphe', 'pateras', 'aureas', 'sex', 'pondo', '30']",[]
tcn_p164r_preTEI,realles,"['il', 'est', 'bon', 'de', 'fondre', 'tout', 'argent', 'monnoyé', 'comme', 'de']","['&', 'aultres', '&', 'le', 'mectre', 'en', 'lingot', 'plustost', 'que', 'le']"
tcn_p164r_preTEI,realles,"['petite', 'vipere', 'd', 'argent', 'et', 'fis', 'la', 'ligue', 'de', '4']","['de', '20', 'sols', 'd', 'Espaigne', '&', 'une', 'piece', 'de', 'xx']"
tcn_p164r_preTEI,s,['Il'],"['e', 'dechet', 'beaucoup', 'à', 'cau', 's', 'e', 'que', 'le', 'plomb']"
tcn_p164r_preTEI,s,"['Il', 's', 'e', 'dechet', 'beaucoup', 'à', 'cau']","['e', 'que', 'le', 'plomb', 'qui', 'y', 'e', 's', 't', 'me']"
tcn_p170v_preTEI,escus,"['transport', 'aulx', 'heritiers', 'deu', 'feu', 'sieur', 'Ouvryer', 'deux', 'cens', 'cinq']","['du', 'rentement', 'de', 'Sainct', 'Frajou', 'montant', 'douze', 'cens', 'trente', 'livres']"
tcn_p170v_preTEI,livres,"['escus', 'du', 'rentement', 'de', 'Sainct', 'Frajou', 'montant', 'douze', 'cens', 'trente']",[]
tcn_p170v_preTEI,escus,"['cinq', 'cens', 'septante', 'neuf', 'de', 'deux', 'trois', 'cens', 'quarante', 'trois']","['un', 'tiers', 'sur', 'qu']"
tcn_p170v_preTEI,livres,"['Et', 'leur', 'reste', 'sur', 'la', 'premiere', 'annee', 'quatre', 'vintg']","['quinze', 'et', 'sur', 'la', 'seconde', 'judication', 'n', 'ont', 'encore', 'rien']"
tcn_p170v_preTEI,escues,"['fiebvre', 'pestilentiale', 'ou', 'poison', 'ou', 'peste', 'le', 'poix', 'd', 'un']","['de', 'ton', 'opiate', 'destrempé', 'avecq', 'eau', 'de', 'scabieuse', 'ou', 'buglose']"
