folio,text in tag,before,after
tcn_p048r_preTEI,sepmaine,"['parmy', 'leur', 'viande', 'Et', 'leur', 'en', 'ayant', 'donné', 'une', 'une']","['donne', 'leur', 'en', 'un', 'aultre', 'sept', 'ou', 'huict', 'jours', 'aprés']"
tcn_p048r_preTEI,jours,"['une', 'sepmaine', 'donne', 'leur', 'en', 'un', 'aultre', 'sept', 'ou', 'huict']",['aprés']
tcn_p048v_preTEI,long temps,"['Ilz', 's', 'esgrissent', 'estant', 'souvent', 'ou']","['remis', 'à', 'fondre', 'et', 's', 'espessissent', 'et', 'se', 'bruslent', 'de']"
tcn_p049v_preTEI,devant la ,"['de', 'leur', 'ramage', 'mays', 'il', 'fault', 'qu', 'ilz', 'soient', 'pris']","['Sainct', 'Michel', 'aultrement', 'ilz', 'ne', 'vivent', 'gueres', 'Il', 'leur', 'vient']"
tcn_p049v_preTEI,à la,"['Ceulx', 'qui', 'peuvent', 'sont', 'pris']","['Sainct', 'Michel', 'sont', 'bons', 'pour', 'garder', 'mays', 'ceulx', 'qui', 'sont']"
tcn_p049v_preTEI,mars,"['sont', 'bons', 'pour', 'garder', 'mays', 'ceulx', 'qui', 'sont', 'pris', 'en']","['se', 'meurent', 'pource', 'qu', 'ilz', 'commancent', 'd', 'entrer', 'en', 'amour']"
tcn_p049v_preTEI,tout l’esté,"['d', 'entrer', 'en', 'amour', 'Les', 'benarris', 'se', 'nourrissent', 'd', 'avoyne']","['affin', 'qu', 'ilz', 'se', 'nourrissent', 'sans', 's', 'engresser', 'pour', 'estre']"
tcn_p049v_preTEI,lanuict,"['engraisser', 'pour', 'vendre', 'on', 'leur', 'donne', 'du', 'mil', 'Ils', 'chantent']","['Il', 'les', 'fault', 'c', 'prendre', 'aprés', 'la', 'my', 'juillet', 'jusques']"
tcn_p049v_preTEI,aprés la my juillet jusques àla ,"['mil', 'Ils', 'chantent', 'la', 'nuict', 'Il', 'les', 'fault', 'c', 'prendre']","['Sainct', 'Michel', 'car', 'aprés', 'ce', 'temps', 'là', 'qu', 'ilz', 'ont']"
tcn_p049v_preTEI,despuys la Toussaints jusques à Noël,"['comme', 'font', 'les', 'tourterelles', 'Les', 'tarins', 'aussy', 'se', 'doibvent', 'prendre']","['car', 'aprés', 'ilz', 's', 'ent', 'vont', 'aulx', 'montaignes', 'cover']"
tcn_p050r_preTEI,espace de deuxheures,"['que', 'vous', 'voulés', 'Mectés', 'dedans', 'de', 'l', 'eau', 'chaulde', 'l']","['Et', 'quand', 'l', 'eau', 'sera', 'refroidie', 'jectés', 'la', '&', 'la']"
tcn_p050r_preTEI,en jour chault &sec,"['la', 'main', 'le', 'fruict', 'sans', 'qu', 'il', 'soit', 'corrompu', '&']","['retirés', 'vous', 'dans', 'la', 'chambre', 'bi', 'en', 'close', 'où', 'il']"
tcn_p050r_preTEI,l’esté,"['l', 'es', 'dans', 'une', 'pone', 'p', 'l', 'eine', 'd', 'eau']","['Et', 'l', 'hiver', 'pource', 'que', 'l', 'a', 'cave', 's', 'dans']"
tcn_p050r_preTEI,l’hiver,"['une', 'pone', 'p', 'l', 'eine', 'd', 'eau', 'l', 'esté', 'Et']","['pource', 'que', 'l', 'a', 'cave', 's', 'dans', 'une', 'cave', 'et']"
tcn_p050r_preTEI,l’hiver,"['pource', 'que', 'l', 'a', 'cave', 's', 'dans', 'une', 'cave', 'et']","['mectés', 'vos', 'boutei', 'l', 'l', 'es', 'dans', 'un', 'panier', 'garny']"
tcn_p050v_preTEI,la nuict,"['Les', 'benarris', 'chantent']","['si', 'on', 'les', 'laisse', 'au', 'serain', 'mays', 'ilz', 'sont', 'meilleurs']"
tcn_p050v_preTEI,comma,"['à', 'venir', 'aveugles', '&', 'les', 'yeulx', 'leur', 'viennent', 'enflés', 'au']","['ncement', 'd', 'aougst', 'Les', 'chardonnerets', 'ayment', 'fort', 'la', 'graine', 'de']"
tcn_p050v_preTEI,une fois,"['se', 'purge', 'avecq', 'une', 'iraigne', 'qu', 'il', 'luy', 'fault', 'donner']","['la', 'sepmaine', 'affin', 'qu', 'elle', 'ne', 'vienne', 'poinct', 'de', 'gaillardisse']"
tcn_p050v_preTEI,à divers jours,"['simple', 'J', 'en', 'ay', 'aultrefois', 'donné', 'congé', 'à', 'deulx', 'qui']","['revindrent', 'se', 'rendre', 'à', 'leur', 'cage', 'Pour', 'nourrir', 'les', 'petits']"
tcn_p051r_preTEI,bonnes heures,"['bonne', 'lessive', 'bien', 'consumee', 'à', 'la', 'buee', 'quattre', 'ou', 'cinq']","['Puys', 'fais', 'ton', 'ancre', 'avecq', 'huile', 'de', 'lin', '&', 'non']"
tcn_p051v_preTEI,long,"['qui', 'est', 'different', 'de', 'celuy', 'des', 'imprimeurs', 'Il', 'fault', 'faire']","['temps', 'bouillir', 'de', 'l', 'huile', 'de', 'noix', 'ou', 'pour', 'mieulx']"
tcn_p051v_preTEI,long temps,"['qui', 'est', 'different', 'de', 'celuy', 'des', 'imprimeurs', 'Il', 'fault', 'faire']","['bouillir', 'de', 'l', 'huile', 'de', 'noix', 'ou', 'pour', 'mieulx', 'de']"
tcn_p052r_preTEI,vers,"['capacité', 'd', 'une', 'buye', 'ou', 'broc', 'de', 'terre', 'Mects', 'dedans']","['la', 'Sainct', 'Jehan', 'une', 'douzaine', '&', 'demye', 'd', 'oeufs', 'de']"
tcn_p052r_preTEI,ordinairem,"['qu', 'un', 'Quand', 'ainsy', 'est', 'il', 'te', 'le', 'fauldra', 'apaster']","['ent', 'par', 'intervalle', 'de', 'jour', '&', 'de', 'nuit', 'par', 'le']"
tcn_p052r_preTEI,heure,"['luy', 'manque', 'pas', '(aulcuns', 'dissent', 'un', 'jaulne', 'd', 'oeuf', 'pour']","['aultres', 'trois', 'mays', 'la', 'chose', 'mesmes', 'demonstrera', 'la', 'practique)', 'En']"
tcn_p052r_preTEI,moys,"['En', 'ceste', 'sorte', 'nourry', 'il', 'fera', 'son', 'croist', 'en', 'deulx']","['ou', 'sept', 'sepmaines', '&', 'viendra', 'comme', 'un', 'serpent', 'long', 'd']"
tcn_p052r_preTEI,sepmaines,"['nourry', 'il', 'fera', 'son', 'croist', 'en', 'deulx', 'moys', 'ou', 'sept']","['&', 'viendra', 'comme', 'un', 'serpent', 'long', 'd', 'un', 'empan', '&']"
tcn_p052v_preTEI,moys,"['&', 'vinaigre', 'Le', 'terme', 'de', 'l', 'oeuvre', 'est', 'de', 'noeuf']","['despuys', 'la', 'Sainct', 'Jehan', 'jusques', 'au', '25', 'd', 'apvril']"
tcn_p052v_preTEI,despuys la,"['vinaigre', 'Le', 'terme', 'de', 'l', 'oeuvre', 'est', 'de', 'noeuf', 'moys']","['Sainct', 'Jehan', 'jusques', 'au', '25', 'd', 'apvril']"
tcn_p053v_preTEI,vers la Sepmaine saincte,"['estages', 'de', 'tables', 'larges', 'Volontiers', 'ilz', 'comancent', 'à', 's', 'espelir']","['Et', 'pour', 'ce', 'faire', 'on', 'les', 'mect', 'dans', 'une', 'boite']"
tcn_p053v_preTEI,jour,"['puys', 'les', 'ranger', 'sur', 'les', 'tables', 'Et', 'trois', 'fois', 'le']","['il', 'leur', 'fault', 'changer', 'des', 'foeilles', 'fresches', 'Et', 's', 'il']"
tcn_p053v_preTEI,surjour,"['leur', 'fault', 'changer', 'des', 'foeilles', 'fresches', 'Et', 's', 'il', 'faict']","['quelque', 'tonnerre', 'ou', 'temps', 'pluvieulx', 'couvert', '&', 'frais', 'il', 'fault']"
tcn_p053v_preTEI,despuys leur naissance jusques,"['on', 'la', 'tire', 'avecq', 'l', 'eau', 'chaulde', 'Despuys', 'Les', 'vers']","['au', 'leur', 'temps', 'qu', 'ilz', 'font', 'leur', 'coquons', '&', 'leur']"
tcn_p053v_preTEI,jours,"['4', 'fois', '&', 'à', 'chasque', 'fois', 'demeurent', '4', 'ou', 'cinq']","['assopis', 'sans', 'manger', 'comme', 's', 'ilz', 'mouroient', 'pour', 'renaistre', 'une']"
tcn_p053v_preTEI,jours,"['&', 'commancent', 'à', 'despoiller', 'la', 'teste', 'puys', 'consequement', 'à', 'divers']","['les', 'reste', 'du', 'corps', '&', 'de', 'blanc', 'viennent', 'grisastres', '&']"
tcn_p053v_preTEI,Vers la,"['guere', 'despuys', 'qu', 'on', 'l', 'a', 'maniée', 'de', 'la', 'main']","['Pentecoste', 'elles', 'comancent', 'à', 'vouloir', 'monster', 'à', 'des', 'branches', 'seiches']"
tcn_p054r_preTEI,sepmaines,"['avoyr', 'demeuré', 'dedans', 'vivant', 'de', 'son', 'propre', 'suc', 'il', 'trois']","['il', 'sort', 'amoindry', 'de', 'la', 'moictié', 'Car', 'quand', 'il', 'commance']"
tcn_p054r_preTEI,sepmaines,"['ont', 'achevé', 'de', 'filer', '&', 'faire', 'leurs', 'oeufs', 'en', 'trois']","['&', 'vers', 'la', 'Saint', 'Jehan', 'Et', 'lors', 'on', 'garde', 'leurs']"
tcn_p054r_preTEI,vers la,"['de', 'filer', '&', 'faire', 'leurs', 'oeufs', 'en', 'trois', 'sepmaines', '&']","['Saint', 'Jehan', 'Et', 'lors', 'on', 'garde', 'leurs', 'oeufs', '&', 'grene']"
tcn_p054r_preTEI,jusques à laSepmaine,"['Saint', 'Jehan', 'Et', 'lors', 'on', 'garde', 'leurs', 'oeufs', '&', 'grene']","['saincte', 'comme', 'on', 'dict', 'est', 'Aulcuns', 'filent', 'parmy', 'la', 'foeille']"
tcn_p055r_preTEI,moys de juing & juillet,"['Ayes', 'au']","['nombre', 'des', 'plus', 'gros', 'escargots', 'que', 'tu', 'pourras', 'avecq', 'leur']"
