original,new
http://fieldnotes.makingandknowing.org/mainSpace/Anisha%20Padma%20-%20DH%20Field%20Notes%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Anisha-Padma/index.html
http://fieldnotes.makingandknowing.org/mainSpace/Sarah%20Pearlman%20Shapiro%20-%20DH%20Field%20Notes%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Sarah-Pearlman-Shapiro/index.html
http://fieldnotes.makingandknowing.org/mainSpace/Nikhil%20Ramachandran%20-%20DH%20Field%20Notes%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Nikhil-Ramachandran/index.html
http://fieldnotes.makingandknowing.org/mainSpace/Wenrui%20Zhao%20-%20DH%20Field%20Notes%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Wenrui-Zhao/index.html
http://fieldnotes.makingandknowing.org/mainSpace/Hiebert%20-%20Field%20Notes%20-%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Benjamin-Hiebert/index.html
http://fieldnotes.makingandknowing.org/mainSpace/First%20Metadata%20Assignment.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Benjamin-Hiebert/Metadata-assignments.html
http://fieldnotes.makingandknowing.org/mainSpace/XML%20assignments.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Benjamin-Hiebert/XML-assignments.html
http://fieldnotes.makingandknowing.org/mainSpace/TA%20-%20DH%20Field%20Notes%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/TA-Field-Notes/index.html
http://fieldnotes.makingandknowing.org/mainSpace/Mehul%20Kumar%20-%20Field%20Notes%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/TA-Field-Notes/Mehul-Kumar.html
http://fieldnotes.makingandknowing.org/mainSpace/Example%20DH.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Example-DH/index.html
