folio,text in tag,before,after
tl_p017v_preTEI,half ,"['it', 'farther', 'than', 'its', 'usual', 'range', 'one', 'puts', 'in', 'a']","['ladle', 'of', 'cannon', 'powder', 'more', 'A', 'cannon', 'can', 'fire', '4xx']"
tl_p017v_preTEI,per,"['more', 'A', 'cannon', 'can', 'fire', '4xx', 'or', 'a', 'hundred', 'shots']","['day', 'but', 'one', 'needs', 'to', 'refresh', 'it', 'every', 'time', 'after']"
tl_p017v_preTEI,quintals,"['is', 'not', 'necessary', 'to', 'refresh', 'it', 'as', 'often', 'For', 'two']","['of', 'copper', 'or', 'two', 'quintals', '&', 'a', 'half', 'if', 'it']"
tl_p017v_preTEI,quintals& a half,"['it', 'as', 'often', 'For', 'two', 'quintals', 'of', 'copper', 'or', 'two']","['if', 'it', 'is', 'for', 'large', 'cannons', 'one', 'puts', 'one', 'quintal']"
tl_p017v_preTEI,quintal,"['which', 'is', 'for', 'great', 'batteries', 'commonly', 'weighs', 'fifty-five', 'or', 'lx']","['s', 'At', 'the', 'breech', 'it', 'carries', 'the', 'thickness', 'of', 'b']"
tl_p017v_preTEI,lb,"['#', 'The', 'metal', 'is', 'composed', 'at', 'the', 'beginning', 'of', 'eight']","['of', 'tin', 'for', 'one', 'quintal', 'of', 'rosette', 'while', 'for', 'large']"
tl_p017v_preTEI,quintal,"['is', 'not', 'necessary', 'to', 'refresh', 'it', 'as', 'often', 'For', 'two']","['s', 'of', 'copper', 'or', 'two', 'quintal', 's', '&', 'a', 'half']"
tl_p017v_preTEI,lb,"['of', 'rosette', 'while', 'for', 'large', 'bells', 'one', 'only', 'puts', 'six']","['of', 'fine', 'tin', 'for', 'one', 'quintal', 'of', 'rosette', 'to', 'give']"
tl_p017v_preTEI,quintal,"['as', 'often', 'For', 'two', 'quintal', 's', 'of', 'copper', 'or', 'two']","['s', '&', 'a', 'half', 'if', 'it', 'is', 'for', 'large', 'cannons']"
tl_p017v_preTEI,quintals,"['it', 'as', 'often', 'For', 'two', 'quintals', 'of', 'copper', 'or', 'two']","['&', 'a', 'half', 'if', 'it', 'is', 'for', 'large', 'cannons', 'one']"
