word,chosen index,def 0 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
flesh,0,the soft tissue of the body of a vertebrate: mainly muscle tissue and fat,alternative names for the body of a human being,a soft moist part of a fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handful,0,a small number or amount,the quantity that can be held in the hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind,0,air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure,a tendency or force that influences events,breath,empty rhetoric or insincere or exaggerated talk,an indication of potential opportunity,a musical instrument in which the sound is produced by an enclosed column of air that is moved by the breath,a reflex that expels intestinal gas through the anus,the act of winding or twisting,,,,,,,,,,,,,,,,,,,,,,,,,
back,0,the posterior part of a human (or animal) body from the neck to the end of the spine,the side that goes last or is not normally seen,the part of something that is furthest from the normal viewer,(football) a person who plays in the backfield,the series of vertebrae forming the axis of the skeleton and protecting the spinal cord,"the protective covering on the front, back, and spine of a book",the part of a garment that covers the back of your body,a support that you can lean against while sitting,(American football) the position of a player on a football team who is stationed behind the line of scrimmage,,,,,,,,,,,,,,,,,,,,,,,,
vein,0,a blood vessel that carries blood from the capillaries toward the heart,a distinctive style or manner,any of the vascular bundles or ribs that form the branching framework of conducting and supporting tissues in a leaf or other plant organ,a layer of ore between layers of rock,one of the horny ribs that stiffen and support the wing of an insect,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teat,0,the small projection of a mammary gland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nail,0,horny plate covering and protecting part of the dorsal surface of the digits,a thin pointed piece of metal that is hammered into materials as a fastener,a former unit of length for cloth equal to 1/16 of a yard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fistful,0,the quantity that can be held in the hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feet,0,the part of the leg of a human being below the ankle joint,a linear unit of length equal to 12 inches or a third of a yard,the lower part of anything,the pedal extremity of vertebrates other than human beings,lowest support of a structure,any of various organs of locomotion or attachment in invertebrates,travel by walking,a member of a surveillance team who works on foot or rides as a passenger,an army unit consisting of soldiers who fight on foot,(prosody) a group of 2 or 3 syllables forming the basic unit of poetic rhythm,a support resembling a pedal extremity,,,,,,,,,,,,,,,,,,,,,,
thumb,0,the thick short innermost digit of the forelimb,the part of a glove that provides a covering for the thumb,a convex molding having a cross section in the form of a quarter of a circle or of an ellipse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fingertip,0,the end (tip) of a finger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fist,0,a hand with the fingers clenched in the palm (as for hitting),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armpit,0,the hollow under the arm where it is joined to the shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finger,0,any of the terminal members of the hand (sometimes excepting the thumb),the length of breadth of a finger used as a linear measure,one of the parts of a glove that provides covering for a finger or thumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forehead,0,the part of the face above the eyes,the large cranial bone forming the front part of the cranium: includes the upper part of the orbits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naribus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tooth,0,hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense,something resembling the tooth of an animal,toothlike structure in invertebrates found in the mouth or alimentary canal or on a shell,a means of enforcement,one of a number of uniform projections on a gear,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breathe,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
