word,chosen index,def 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
bell,0,a hollow device made of metal that makes a ringing sound when struck,a push button at an outer door that gives a ringing or buzzing signal when pushed,the sound of a bell being struck,"(nautical) each of the eight half-hour units of nautical time signaled by strokes of a ship's bell; eight bells signals 4:00, 8:00, or 12:00 o'clock, either a.m. or p.m.",the shape of a bell,a phonetician and father of Alexander Graham Bell (1819-1905) (not an entity),English painter; sister of Virginia Woolf; prominent member of the Bloomsbury Group (1879-1961) (not an entity),United States inventor (born in Scotland) of the telephone (1847-1922) (not an entity),a percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument,the flared opening of a tubular device,,,,,,,,,,,,,,,,
tub,0,a relatively large open container that you fill with water and use to wash the body,a large open vessel for holding or storing liquids,the amount that a tub will hold,,,,,,,,,,,,,,,,,,,,,,,
clock,0,a timepiece that shows the time of day,,,,,,,,,,,,,,,,,,,,,,,,,
estamiere,0,,,,,,,,,,,,,,,,,,,,,,,,,,
knee,0,hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella,joint between the femur and tibia in a quadruped; corresponds to the human knee,the part of a trouser leg that provides the cloth covering for the knee,,,,,,,,,,,,,,,,,,,,,,,
alembic,0,an obsolete kind of container used for distillation; two retorts connected by a tube,,,,,,,,,,,,,,,,,,,,,,,,,
bore,0,a person who evokes boredom,a high wave (often dangerous) caused by tidal flow (as by colliding tidal currents or in a narrow estuary),diameter of a tube or gun barrel,a hole or passage made by a drill; usually made for exploratory purposes,,,,,,,,,,,,,,,,,,,,,,
shelf,0,a support that consists of a horizontal surface for holding objects,a projecting ridge on a mountain or submerged under water,,,,,,,,,,,,,,,,,,,,,,,,
plumb,0,the metal bob of a plumb line,,,,,,,,,,,,,,,,,,,,,,,,,
mirror,0,polished surface that forms images by reflecting light,a faithful depiction or reflection,,,,,,,,,,,,,,,,,,,,,,,,
nut,0,usually large hard-shelled seed,Egyptian goddess of the sky (not an entity),a small (usually square or hexagonal) metal block with internal screw thread to be fitted onto a bolt,half the width of an em,a whimsically eccentric person,someone who is so ardently devoted to something that it resembles an addiction,one of the two male reproductive glands that produce spermatozoa and secrete androgens,,,,,,,,,,,,,,,,,,,
buckle,0,fastener that fastens together two ends of a belt or strap; often has loose prong,a shape distorted by twisting or folding,,,,,,,,,,,,,,,,,,,,,,,,
flagon,0,a large metal or pottery vessel with a handle and spout; used to hold alcoholic beverages (usually wine),,,,,,,,,,,,,,,,,,,,,,,,,
bag,0,a flexible container with a single opening,the quantity of game taken in a particular period (usually by one person),a place that the runner must touch before scoring,a container used for carrying money and small personal items or accessories (especially by women),the quantity that a bag will hold,a portable rectangular container for carrying clothes,an ugly or ill-tempered woman,mammary gland of bovids (cows and sheep and goats),an activity that you like or at which you are superior,,,,,,,,,,,,,,,,,
straw,0,plant fiber used e.g. for making baskets and hats or as fodder,material consisting of seed coverings and small pieces of stem or leaves that have been separated from the seeds,"a variable yellow tint; dull yellow, often diluted with white",a thin paper or plastic tube used to suck liquids into the mouth,,,,,,,,,,,,,,,,,,,,,,
silverpoint,0,a drawing made on specially prepared paper with an instrument having a silver tip (15th and 16th centuries),,,,,,,,,,,,,,,,,,,,,,,,,
lute,0,a substance for packing a joint or coating a porous surface to make it impervious to gas or liquid,"chordophone consisting of a plucked instrument having a pear-shaped body, a usually bent neck, and a fretted fingerboard",,,,,,,,,,,,,,,,,,,,,,,,
ball,0,round object that is hit or thrown or kicked in games,a solid projectile that is shot by a musket,an object with a spherical shape,the people assembled at a lavish formal dance,one of the two male reproductive glands that produce spermatozoa and secrete androgens,a spherical object used as a plaything,United States comedienne best known as the star of a popular television program (1911-1989) (not an entity),a compact mass,a lavish dance requiring formal attire,a more or less rounded anatomical body or mass,the game of baseball,a pitch that is not in the strike zone,,,,,,,,,,,,,,
porphyry,0,any igneous rock with crystals embedded in a finer groundmass of minerals,,,,,,,,,,,,,,,,,,,,,,,,,
felin,0,,,,,,,,,,,,,,,,,,,,,,,,,,
wirebrush,0,,,,,,,,,,,,,,,,,,,,,,,,,,
scraper,0,any of various hand tools for scraping,,,,,,,,,,,,,,,,,,,,,,,,,
easel,0,an upright tripod for displaying something (usually an artist's canvas),,,,,,,,,,,,,,,,,,,,,,,,,
penknife,0,a small pocketknife; originally used to cut quill pens,,,,,,,,,,,,,,,,,,,,,,,,,
frail,0,the weight of a frail (basket) full of raisins or figs; between 50 and 75 pounds,a basket for holding dried fruit (especially raisins or figs),,,,,,,,,,,,,,,,,,,,,,,,
thimble,0,as much as a thimble will hold,a small metal cap to protect the finger while sewing; can be used as a small container,,,,,,,,,,,,,,,,,,,,,,,,
gratteau,0,,,,,,,,,,,,,,,,,,,,,,,,,,
pin,0,a piece of jewelry that is pinned onto the wearer's garment,when a wrestler's shoulders are forced to the mat,small markers inserted into a surface to mark scores or define locations etc.,a number you choose and use to gain access to various accounts,informal terms for the leg,axis consisting of a short shaft that supports something that turns,cylindrical tumblers consisting of two parts that are held in place by springs; when they are aligned with a key the bolt can be thrown,flagpole used to mark the position of the hole on a golf green,a small slender (often pointed) piece of wood or metal used to support or fasten or attach things,a holder attached to the gunwale of a boat that holds the oar in place and acts as a fulcrum for rowing,a club-shaped wooden object used in bowling; set up in triangular groups of ten as the target,,,,,,,,,,,,,,,
press,0,the state of demanding notice or attention,the print media responsible for gathering and publishing news in the form of newspapers or magazines,a machine used for printing,a dense crowd of people,a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes,clamp to prevent wooden rackets from warping when not in use,any machine that exerts pressure to form or shape or cut materials or extract liquids or compress solids,a weightlift in which the barbell is lifted to shoulder height and then smoothly lifted overhead,the act of pressing; the exertion of pressure,,,,,,,,,,,,,,,,,
candlestick,0,a holder with sockets for candles,,,,,,,,,,,,,,,,,,,,,,,,,
plane,0,an aircraft that has a fixed wing and is powered by propellers or jets,(mathematics) an unbounded two-dimensional shape,a level of existence or development,a power tool for smoothing or shaping wood,a carpenter's hand tool with an adjustable blade for smoothing or shaping wood,,,,,,,,,,,,,,,,,,,,,
palette,0,the range of colour characteristic of a particular artist or painting or school of art,board that provides a flat surface on which artists mix paints and the range of colors used,one of the rounded armor plates at the armpits of a suit of armor,,,,,,,,,,,,,,,,,,,,,,,
nailed,0,,,,,,,,,,,,,,,,,,,,,,,,,,
tile,0,a flat thin rectangular slab (as of fired clay or rubber or linoleum) used to cover surfaces,a thin flat slab of fired clay used for roofing,"game equipment consisting of a flat thin piece marked with characters and used in board games like Mah-Jong, Scrabble, etc.",,,,,,,,,,,,,,,,,,,,,,,
strap,0,an elongated leather strip (or a strip of similar material) for binding things together or holding something in position,hanger consisting of a loop of leather suspended from the ceiling of a bus or train; passengers hold onto it,a band that goes over the shoulder and supports a garment or bag,whip consisting of a strip of leather used in flogging,,,,,,,,,,,,,,,,,,,,,,
vial,0,a small bottle that contains a drug (especially a sealed sterile container for injection by needle),,,,,,,,,,,,,,,,,,,,,,,,,
box,0,a (usually rectangular) container; may have a lid,private area in a theater or grandstand where a small group can watch the performance,the quantity contained in a box,a predicament from which a skillful or graceful escape is impossible,a rectangular drawing,evergreen shrubs or small trees,any one of several designated areas on a ball field where the batter or catcher or coaches are positioned,the driver's seat on a coach,separate partitioned area in a public place for a few people,a blow with the hand (usually on the ear),,,,,,,,,,,,,,,,
hourglass,0,a sandglass that runs for sixty minutes,,,,,,,,,,,,,,,,,,,,,,,,,
vat,0,a tax levied on the difference between a commodity's price before taxes and its cost of production,a large open vessel for holding or storing liquids,,,,,,,,,,,,,,,,,,,,,,,,
bellow,0,a very loud utterance (like the sound of an animal),United States author (born in Canada) whose novels influenced American literature after World War II (1915-2005) (not an entity),,,,,,,,,,,,,,,,,,,,,,,,
wood,0,the hard fibrous lignified substance under the bark of trees,the trees and other plants in a large densely wooded area,United States film actress (1938-1981) (not an entity),English conductor (1869-1944) (not an entity),English writer of novels about murders and thefts and forgeries (1814-1887) (not an entity),United States painter noted for works based on life in the Midwest (1892-1942) (not an entity),any wind instrument other than the brass instruments,a golf club with a long shaft used to hit long shots; originally made with a wooden head,,,,,,,,,,,,,,,,,,
boring,0,the act of drilling,the act of drilling a hole in the earth in the hope of producing petroleum,,,,,,,,,,,,,,,,,,,,,,,,
