prefLabel_en,verbatim_term,identity,title
printer,printers,p056v_1,Painter
printer,printers,p069r_2,Sand
printer,printers,p072v_1,Casting
printer,printers,p079v_4,Mixture for printers
tanner,tanners,p057v_1,Sheath maker
tanner,tanner,p081r_2,Earth for molding
illuminator,illuminators,p060v_5,Work of the Flemish
illuminator,illuminators,p065v_6,From nature
artist,artist,p062r_4,Drawing
artist,artist,p062v_1,Drawing
artist,artist,p065v_2,Painting large figures
artist,artist,p065v_4,White and black
locksmith,locksmiths,p067v_1,Files
locksmith,locksmiths,p083r_1,Sand for lead
locksmith,locksmiths,p094r_1,Furbisher
locksmith,locksmith,p098r_3,Locksmith
molder,molder,p069r_2,Sand
molder,molder,p105v_2,Fountain maker
molder,molders,p090r_2,Sand
molder,molders,p143r_2,Molders from Foix
cutler,cutlers,p071v_4,Sand
printer’,printer’s,p072r_1,Printer’s letters
goldsmith’,goldsmith’s,p073r_3,For ridding bone or horn of grease
goldsmith’,goldsmith’s,p152v_1,Repairing cast things
clockmaker,clockmakers,p082r_4,Clockmakers
clockmaker,clockmakers,p082v_1,Clockmakers
silversmith,silversmiths,p083r_1,Sand for lead
silversmith,silversmiths,p123r_1, A means di far correr lotnegra
baker,baker,p088r_5,Baker
glassmakers’,glassmakers’,p089v_2,Glassmakers’ white sand from the mine, mixed with sal ammoniac
artisan,artisans,p090r_3,All sands can be rendered good
artisan,artisans,p094r_1,Furbisher
artisan,artisans,p166r_1,For the workshop
artisan,artisans who work on big works,p088v_2,Mineral sand
artisan,artisans who work in big works,p090r_3,All sands can be rendered good
artisan,artisans of metals, of gold, &amp; of silver, &amp; others,p149r_3,Various arts from Germany
rustic,rustics,p093r_2,Observation from rustics
rustic,rustic,p123r_1, A means di far correr lotnegra
grocer,grocers,p093v_2,Azure
workman,workman,p094r_1,Furbisher
leadsmith,leadsmiths,p098r_3,Locksmith
perfumer,perfumers,p100r_3,Gemstones
perfumer,perfumer,p163r_1,Perfumer
elderly,elderly,p102v_2,Infusion of anthos or rosemary
groom,grooms,p103r_2,Against dogs’ mange
archer,archers,p104v_3,Goldsmith
glassmaker’,glassmaker’s,p107r_1,Catching lizards and snakes
glassmaker’,glassmaker’s,p120r_2,Sand for casting in gold
disciple,disciples,p109r_5,Snakes for molding
peasant,peasants,p121v_1,For casting in silver
peasant,peasant,p167r_1,Petards
peasant,poor peasants,p067r_4,Varnish on paper
boy,boy,p135v_1,Casting in ☼
boy,shop boy,p123r_1, A means di far correr lotnegra
caster,casters,p136v_1,For casting in latten
tiler,tiler,p161r_1,Preparation of sand for frames
medicari,medicari,p166r_1,For the workshop
weaver,weaver,p166r_1,For the workshop
inventor,inventor,p166r_1,For the workshop
inventor,inventor of rustic figulines,p001r_3,List of books
author,authors,p166r_1,For the workshop
orphan,orphans,p166r_1,For the workshop
mason,mason,p166r_1,For the workshop
wheelwright,wheelwrights,p167r_1,Petards
bimbalotier,bimbalotiers,p169v_1,Molding very thin like bimbalotiers do
medicu,medicus,p170v_4,List of books
queen mother,queen mother,p001r_3,List of books
frame maker,frame makers,p004r_1,Varnish of spike lavender oil
guitar maker,guitar makers,p004r_1,Varnish of spike lavender oil
guitar maker,guitar makers,p007r_4,Fish glue or isinglass and mouth glue
iron etcher,iron etchers,p004v_3,Varnish of iron etchers
glass button maker,glass button makers,p006v_1,For ga cachcages
ancient lapidary,ancient lapidaries,p012v_3,For whitening enilanroc
gunpowder maker,gunpowder makers,p014r_1,For walls of earth and rustic construction
gunpowder maker,gunpowder maker,p103r_1,Against burns, excellent
sworn master pewterer,sworn master pewterers,p028v_1,Pewterers
others, who work in the countryside,others, who work in the countryside,p028v_1,Pewterers
white limer,white limers,p031v_2,Brushes
mat maker,mat maker,p032v_1,Mat maker
stone cutter,stone cutters,p038r_3,Sapphire
commanders of maltum,commanders of malta,p040v_1,Cross of the commanders of Malta
those who make gemstone foil,those who make gemstone foils,p040v_1,Cross of the commanders of Malta
sworn master,sworn masters,p044r_2,Pewterer
cutters of printing plate,cutters of printing plates,p051r_2,Cutters of printing plates
the one who makes a profession of working in oil,the one who makes a profession of working in oil,p056v_1,Painter
sheath maker,sheath makers,p057v_1,Sheath maker
sheath maker,sheath maker,p057v_1,Sheath maker
those who grind,those who grind,p071v_4,Sand
those who create sword guard,those who create sword guards,p094r_1,Furbisher
fountain maker,fountain maker,p105v_2,Fountain maker
crayfish catcher,crayfish catchers,p107r_1,Catching lizards and snakes
those who make pot,those who make pots,p108r_2,Spalt
pastry maker,pastry makers,p112v_1,For molding Making the arrangement and disposition of the animal
those who work in plate and large ware,those who work in plate and large wares,p123r_1, A means di far correr lotnegra
little child,little children,p136v_1,For casting in latten
makers of gilded leather,makers of gilded leather,p151v_1,Wheat oil
one who sing,one who sings,p160v_5,Catching birds
