folio,text in tag,before,after
tc_p029r_preTEI,jours,"['&', 'le', 'broye', 'plusieurs', 'fois', 'le', 'jour', 'lespace', 'de', 'quinze']","['Puys', 'verse', 'leau', 'par', 'inclination', 'Et', 'ramasse', 'le', 'plastre', '&']"
tc_p029r_preTEI,jours,"['le', 'laisse', 'a', 'lair', '&', 'au', 'serain', 'lespace', 'de', 'quinze']","['avecq', 'son', 'eau', 'Et', 'il', 'deviendra', 'mat', 'fort', 'blanc', 'et']"
tc_p029v_preTEI,longuem,"['poinct', 'Aultrement', 'il', 'ne', 'vauldroict', 'rien', 'Et', 'le', 'laisse', 'ainsy']","['ent', 'Car', 'tant', 'plus', 'il', 'y', 'demeurera', 'il', 'sera', 'plus']"
tc_p032v_preTEI,leste,"['pailles', 'les', 'aultres', 'de', 'treze', 'Et', 'principallement', 'y', 'travaillent', 'ilz']","['Et', 'lhyver', 'lorsquilz', 'la', 'mectent', 'en', 'besoigne', 'ilz', 'la', 'cousent']"
tc_p032v_preTEI,lhyver,"['aultres', 'de', 'treze', 'Et', 'principallement', 'y', 'travaillent', 'ilz', 'leste', 'Et']","['lorsquilz', 'la', 'mectent', 'en', 'besoigne', 'ilz', 'la', 'cousent', 'Mays', 'plustost']"
tc_p037r_preTEI,long temps,"['sen', 'va', 'poinct', 'ains', 'se', 'mesle', 'dadvantaige', 'Et', 'le', 'tenant']","['au', 'foeu', 'la', 'crasse', 'se', 'mange', 'qui', 'est', 'ce', 'qui']"
tc_p037r_preTEI,une foys la sepmaine,"['ou', 'de', 'confitures', '&', 'en', 'fais', 'oppiatte', 'duquel', 'tu', 'prendras']","['dans', 'une', 'ostie', 'trempee', 'de', 'vin', 'puys', 'tu', 'pourras', 'boire']"
tc_p037v_preTEI,finde la,"['semer', 'les', 'melons', 'il', 'fault', 'que', 'ce', 'soict', 'a', 'la']","['lune', 'Car', 'aultrement', 'ilz', 'boutteroient', 'trop', 'de', 'foeilles', '&', 'ne']"
tc_p037v_preTEI,nuict,"['Mays', 'pour', 'le', 'remettre', 'il', 'le', 'fault', 'faire', 'tremper', 'une']","['dans', 'de', 'lurine', 'puys', 'le', 'faire', 'bouillir', 'un', 'peu', 'dedans']"
tc_p038r_preTEI,aujourdhuy,"['des', 'eglises', 'qui', 'sont', 'beaucoup', 'plus', 'espesses', 'que', 'celles', 'd']","['&', 'sont', 'de', 'plus', 'naifves', 'couleurs', 'Si', 'cest', 'pour', 'souf']"
tc_p038v_preTEI,tous les ans,"['Il', 'les', 'fault', 'espurger']","['de', 'sorte', 'quil', 'ny', 'demeure', 'quun', 'pied', '&', 'les', 'arrouser']"
tc_p038v_preTEI,tous les ans,"['quun', 'pied', '&', 'les', 'arrouser', 'fort', 'L', 'En', 'replanter', 'aussy']","['car', 'la', 'seconde', 'annee', 'ilz', 'porteront', 'fort', 'beau', 'fruit']"
tc_p038v_preTEI,secondeannee,"['fort', 'L', 'En', 'replanter', 'aussy', 'tous', 'les', 'ans', 'car', 'la']","['ilz', 'porteront', 'fort', 'beau', 'fruit']"
tc_p038v_preTEI,jour de,"['On', 'dict', 'que', 'rarement', 'labre', 'plante', 'le']","['Saint', 'paul', 'fault', 'a', 'prendre', '&', 'pour', 'couvrir', 'les', 'ampeaulx']"
tc_p039r_preTEI,tous les ans,"['le', 'fonds', 'de', 'la', 'terre', 'est', 'si', 'fertil', 'que', 'si']","['on', 'y', 'cultivoit', 'le', 'bled', 'il', 'se', 'coucheroict', 'pour', 'estre']"
tc_p039r_preTEI,a la,"['comme', 'pour', 'semer', 'quelques', 'herbes', 'potaigeres', 'On', 'le', 'seme', 'communement']","['saint', 'Anthoine', 'de', 'Janvier', 'on', 'en', 'faict', 'huict', 'racoltes', 'Les']"
tc_p040r_preTEI,este,"['ou', 'vinette', '&', 'de', 'la', 'racine', 'qui', 'est', 'jaune', 'l']","['ilz', 'en', 'taignent', 'du', 'filet', '&', 'choses', 'semblables']"
tc_p040v_preTEI,long temps,"['il', 'sen', 'va', 'en', 'fumee', 'en', 'fondant', 'Lestain', 'mesle', 'tient']","['au', 'foeu', 'Mays', 'la', 'cendree', 'le', 'separe']"
tc_p041r_preTEI,an suivant,"['premiere', 'gecte', '&', 'il', 'ne', 'reboutte', '&', 'florist', 'que', 'l']","['&', 'croy', 'que', 'les', 'herbes', 'bulbeuses', 'font', 'ainsy']"
tc_p041r_preTEI,moys,"['Les', 'domestiques', 'petits', 'ne', 'croissent', 'dun']","['apres', 'quilz', 'sont', 'esclos', 'ains', 'demeurent', 'en', 'cest', 'estat', 'Mays']"
tc_p041v_preTEI,long,"['Lescaille', 'de', 'fer', 'qui', 'se', 'prend', 'des', 'barres', 'qui', 'ont']","['temps', 'este', 'au', 'foeu', '&', 'qui', 'est', 'espesse', 'est', 'beaucoup']"
tc_p041v_preTEI,an,"['veult', 'viscorter', 'cest', 'a', 'dire', 'chastrer', 'comme', 'ilz', 'sont', 'dun']","['ou', 'deulx', 'Il', 'ne', 'fault', 'pas', 'quil', 'aye', 'este', 'avecq']"
tc_p042v_preTEI,ausoir,"['huile', 'daspic', 'et', 'un', 'peu', 'de', 'mastic', 'Et', 'le', 'mectre']","['dedans', 'un', 'vaisse', 'au', 'tout', 'ensemble', 'bien', 'pile', 'sans', 'foeu']"
tc_p043r_preTEI,advents de noël,"['Il', 'les', 'fault', 'enter', 'en', 'aulx']","['pourveu', 'quil', 'ne', 'gele', 'pas', 'trop']"
tc_p043r_preTEI,hora,"['a', 'pignatta', 'sublimatorio', 'di', 'vetro', 'tenerlo', 'sopra', 'picciol', 'fuoco', 'una']","['&', 'una', 'hora', 'un', 'poco', 'piu', 'forte', '&', 'una', 'hora']"
tc_p043r_preTEI,hora,"['di', 'vetro', 'tenerlo', 'sopra', 'picciol', 'fuoco', 'una', 'hora', '&', 'una']","['un', 'poco', 'piu', 'forte', '&', 'una', 'hora', 'bonissimo', 'fuoco', 'Et']"
tc_p043r_preTEI,hora,"['hora', '&', 'una', 'hora', 'un', 'poco', 'piu', 'forte', '&', 'una']","['bonissimo', 'fuoco', 'Et', 'sara', 'fatto', 'dapoi', 'per', 'adoperarla', 'datte', 'il']"
tc_p043v_preTEI,heures,"['du', 'bresil', 'bien', 'menu', 'mectes', 'le', 'tremper', 'une', 'ou', 'deux']","['dans', 'eau', 'claire', 'puys', 'prenes', 'ceste', 'eau', 'taincte', '&', 'adjoustes']"
tc_p044r_preTEI,heures,"['&', 'laplique', 'sur', 'du', 'papier', '&', 'si', 'une', 'ou', 'deux']","['apres', 'elle', 'ne', 'sy', 'meurt', 'poinct', 'elle', 'est', 'fine', '&']"
tc_p044v_preTEI,jours,"['Et', 'la', 'mects', 'en', 'bain', 'fort', 'lent', 'trois', 'ou', '4']","['Puys', 'separe', 'ta', 'decoction', 'de', 'la', 'residence', 'de', 'laquelle', 'en']"
tc_p044v_preTEI,jours,"['de', 'verre', 'laquelle', 'tu', 'poseras', 'au', 'bain', 'marie', 'par', 'deulx']","['Et', 'ton', 'huile', 'viendra', 'blanc', 'duquel', 'si', 'tu', 'frottes', 'un']"
tc_p046r_preTEI,matins,"['qualtre', 'ou', 'cinq', '&', 'le', 'lespace', 'de', '4', 'ou', 'cinq']","['fais', 'en', 'cuire', 'un', 'et', 'ayant', 'mesle', 'dedans', 'un', 'peu']"
tc_p046r_preTEI,en tout,"['Celles', 'qui', 'se', 'voy', 'en', 't']","['ess', 'les', 'r', 'en', 'ouveaulx', 'de', '☾', 'ne', 'vi', 'en']"
tc_p047r_preTEI,au descroissant de la lune,"['au', 'col', 'de', 'la', 'racine', 'de', 'pæonia', 'qui', 'soict', 'cuillie']",[]
tc_p047v_preTEI,en hyver,"['Ceulx', 'qui', 'se', 'font']","['&', 'temps', 'humide', 'ne', 'sont', 'pas', 'bons', 'Ceulx', 'des', 'fondeurs']"
tc_p047v_preTEI,tempshumide,"['Ceulx', 'qui', 'se', 'font', 'en', 'hyver', '&']","['ne', 'sont', 'pas', 'bons', 'Ceulx', 'des', 'fondeurs', 'doibvent', 'estre', 'espes']"
