folio,text in tag,before,after
tc_p003r_preTEI,coral,['Le'],"['faict', 'desmail', 'de', 'gueule', 'endure', 'la', 'lime', 'et', 'le', 'polissement']"
tc_p003r_preTEI,desmail de gueule,"['Le', 'coral', 'faict']","['endure', 'la', 'lime', 'et', 'le', 'polissement']"
tc_p003r_preTEI,ciment,"['Il', 'se', 'faict', 'comme', 'le']","['qui', 'est', 'plus', 'fort', 'mesle', 'de', 'verre', 'que', 'de', 'pile']"
tc_p003r_preTEI,verre ,"['faict', 'comme', 'le', 'ciment', 'qui', 'est', 'plus', 'fort', 'mesle', 'de']","['que', 'de', 'pile', 'que', 'de', 'brique', 'Ainsy', 'on', 'y', 'mesle']"
tc_p003r_preTEI,brique,"['plus', 'fort', 'mesle', 'de', 'verre', 'que', 'de', 'pile', 'que', 'de']","['Ainsy', 'on', 'y', 'mesle', 'avecq', 'le', 'vermeillon', 'de', 'lesmail', 'de']"
tc_p003r_preTEI,vermeillon,"['pile', 'que', 'de', 'brique', 'Ainsy', 'on', 'y', 'mesle', 'avecq', 'le']","['de', 'lesmail', 'de', 'gueule', 'qui', 'est', 'rouge', 'en', 'corps', 'bien']"
tc_p003r_preTEI,esmail,"['brique', 'Ainsy', 'on', 'y', 'mesle', 'avecq', 'le', 'vermeillon', 'de', 'l']","['de', 'gueule', 'qui', 'est', 'rouge', 'en', 'corps', 'bien', 'pile', 'Ainsy']"
tc_p003r_preTEI,esmails,"['rouge', 'en', 'corps', 'bien', 'pile', 'Ainsy', 'de', 'toutes', 'couleurs', 'd']",[]
tc_p003r_preTEI,tourmentine de,"['Prendre', 'une', 'lb', 'de']","['venise', '&', 'la', 'faire', 'chaufer', 'dans', 'un', 'pot', 'jusques', 'a']"
tc_p003r_preTEI,huile de tormentine,"['a', 'ce', 'quelle', 'fremisse', 'et', 'mectre', 'dedans', 'demy', 'lb', 'd']","['de', 'la', 'plus', 'blanche', 'que', 'tu', 'pourras', 'Et', 'la', 'remuer']"
tc_p003r_preTEI,charbon,"['tu', 'pourras', 'Et', 'la', 'remuer', 'bien', 'ensemble', 'sur', 'foeu', 'de']","['Et', 'loster', 'incontinent', 'Et', 'elle', 'cest', 'faict', 'Mays', 'sil', 'te']"
tc_p003r_preTEI,huile,"['a', 'ce', 'quelle', 'fremisse', 'et', 'mectre', 'dedans', 'demy', 'lb', 'd']","['de', 'tormentine', 'de', 'la', 'plus', 'blanche', 'que', 'tu', 'pourras', 'Et']"
tc_p003r_preTEI,tormentine,"['ce', 'quelle', 'fremisse', 'et', 'mectre', 'dedans', 'demy', 'lb', 'dhuile', 'de']","['de', 'la', 'plus', 'blanche', 'que', 'tu', 'pourras', 'Et', 'la', 'remuer']"
